news_id,ticker,date,title,content,source,url,company_name,text,lexicon_score,logistic_score,finbert_score,sentiment_score
000002-20241230-0,000002.SZ,2024-12-30,万科A 2024-12-30 日行情文本摘要,2024-12-30，万科AA股交易日行情记录；开盘价7.5；最高价7.51；最低价7.33；收盘价7.36；成交量1338891；按开盘价计算当日下跌1.87%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2024-12-30 日行情文本摘要 2024-12-30，万科AA股交易日行情记录；开盘价7.5；最高价7.51；最低价7.33；收盘价7.36；成交量1338891；按开盘价计算当日下跌1.87%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000002-20241231-0,000002.SZ,2024-12-31,万科A:关于为控股子公司财荣有限公司银行保函提供履约保证的公告,提供/对外担保公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202412301641479919.html,万科A,万科A:关于为控股子公司财荣有限公司银行保函提供履约保证的公告 提供/对外担保公告,0,0,0,0.0
000002-20250102-0,000002.SZ,2025-01-02,万科A 2025-01-02 日行情文本摘要,2025-01-02，万科AA股交易日行情记录；开盘价7.25；最高价7.36；最低价7.07；收盘价7.11；成交量1182666；按开盘价计算当日下跌1.93%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-02 日行情文本摘要 2025-01-02，万科AA股交易日行情记录；开盘价7.25；最高价7.36；最低价7.07；收盘价7.11；成交量1182666；按开盘价计算当日下跌1.93%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000002-20250103-0,000002.SZ,2025-01-03,万科A 2025-01-03 日行情文本摘要,2025-01-03，万科AA股交易日行情记录；开盘价7.17；最高价7.18；最低价6.96；收盘价7；成交量1124915；按开盘价计算当日下跌2.37%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-03 日行情文本摘要 2025-01-03，万科AA股交易日行情记录；开盘价7.17；最高价7.18；最低价6.96；收盘价7；成交量1124915；按开盘价计算当日下跌2.37%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000002-20250104-0,000002.SZ,2025-01-04,万科A:关于为银行贷款事项提供担保的公告,提供/对外担保公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501031641805538.html,万科A,万科A:关于为银行贷款事项提供担保的公告 提供/对外担保公告,0,0,0,0.0
000002-20250104-1,000002.SZ,2025-01-04,万科A:2024年12月销售及近期新增项目情况简报,月度经营情况,nan,https://data.eastmoney.com/notices/detail/000002/AN202501031641805536.html,万科A,万科A:2024年12月销售及近期新增项目情况简报 月度经营情况,0,0,0,0.0
000002-20250104-2,000002.SZ,2025-01-04,万科A:关于按照《香港上市规则》公布2024年12月证券变动月报表的公告,其他,nan,https://data.eastmoney.com/notices/detail/000002/AN202501031641805527.html,万科A,万科A:关于按照《香港上市规则》公布2024年12月证券变动月报表的公告 其他,0,0,0,0.0
000002-20250106-0,000002.SZ,2025-01-06,万科A 2025-01-06 日行情文本摘要,2025-01-06，万科AA股交易日行情记录；开盘价6.99；最高价7.01；最低价6.89；收盘价6.98；成交量850857；按开盘价计算当日下跌0.14%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-06 日行情文本摘要 2025-01-06，万科AA股交易日行情记录；开盘价6.99；最高价7.01；最低价6.89；收盘价6.98；成交量850857；按开盘价计算当日下跌0.14%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000002-20250107-0,000002.SZ,2025-01-07,万科A 2025-01-07 日行情文本摘要,2025-01-07，万科AA股交易日行情记录；开盘价6.96；最高价7.05；最低价6.92；收盘价7.05；成交量720471；按开盘价计算当日上涨1.29%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-07 日行情文本摘要 2025-01-07，万科AA股交易日行情记录；开盘价6.96；最高价7.05；最低价6.92；收盘价7.05；成交量720471；按开盘价计算当日上涨1.29%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000002-20250108-0,000002.SZ,2025-01-08,万科A 2025-01-08 日行情文本摘要,2025-01-08，万科AA股交易日行情记录；开盘价7.02；最高价7.03；最低价6.83；收盘价6.96；成交量912684；按开盘价计算当日下跌0.85%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-08 日行情文本摘要 2025-01-08，万科AA股交易日行情记录；开盘价7.02；最高价7.03；最低价6.83；收盘价6.96；成交量912684；按开盘价计算当日下跌0.85%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000002-20250109-0,000002.SZ,2025-01-09,万科A 2025-01-09 日行情文本摘要,2025-01-09，万科AA股交易日行情记录；开盘价6.93；最高价7.01；最低价6.91；收盘价6.95；成交量674686；按开盘价计算当日上涨0.29%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-09 日行情文本摘要 2025-01-09，万科AA股交易日行情记录；开盘价6.93；最高价7.01；最低价6.91；收盘价6.95；成交量674686；按开盘价计算当日上涨0.29%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000002-20250110-0,000002.SZ,2025-01-10,万科A:关于为融资事项提供担保的公告,提供/对外担保公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501091641873663.html,万科A,万科A:关于为融资事项提供担保的公告 提供/对外担保公告,0,0,0,0.0
000002-20250113-0,000002.SZ,2025-01-13,万科A 2025-01-13 日行情文本摘要,2025-01-13，万科AA股交易日行情记录；开盘价6.6；最高价6.77；最低价6.55；收盘价6.76；成交量911147；按开盘价计算当日上涨2.42%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-13 日行情文本摘要 2025-01-13，万科AA股交易日行情记录；开盘价6.6；最高价6.77；最低价6.55；收盘价6.76；成交量911147；按开盘价计算当日上涨2.42%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000002-20250114-0,000002.SZ,2025-01-14,万科A 2025-01-14 日行情文本摘要,2025-01-14，万科AA股交易日行情记录；开盘价6.76；最高价6.93；最低价6.75；收盘价6.91；成交量1116454；按开盘价计算当日上涨2.22%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-14 日行情文本摘要 2025-01-14，万科AA股交易日行情记录；开盘价6.76；最高价6.93；最低价6.75；收盘价6.91；成交量1116454；按开盘价计算当日上涨2.22%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000002-20250115-0,000002.SZ,2025-01-15,万科A 2025-01-15 日行情文本摘要,2025-01-15，万科AA股交易日行情记录；开盘价6.88；最高价6.96；最低价6.79；收盘价6.86；成交量887294；按开盘价计算当日下跌0.29%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-15 日行情文本摘要 2025-01-15，万科AA股交易日行情记录；开盘价6.88；最高价6.96；最低价6.79；收盘价6.86；成交量887294；按开盘价计算当日下跌0.29%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000002-20250116-0,000002.SZ,2025-01-16,万科A:关于为银行贷款事项提供担保的公告,提供/对外担保公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501151641938812.html,万科A,万科A:关于为银行贷款事项提供担保的公告 提供/对外担保公告,0,0,0,0.0
000002-20250117-0,000002.SZ,2025-01-17,万科A 2025-01-17 日行情文本摘要,2025-01-17，万科AA股交易日行情记录；开盘价6.58；最高价6.65；最低价6.45；收盘价6.63；成交量3620283；按开盘价计算当日上涨0.76%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-17 日行情文本摘要 2025-01-17，万科AA股交易日行情记录；开盘价6.58；最高价6.65；最低价6.45；收盘价6.63；成交量3620283；按开盘价计算当日上涨0.76%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000002-20250120-0,000002.SZ,2025-01-20,万科A:万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券(第一期)(品种二)2025年付息公告,其他；一般付息公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501201642370363.html,万科A,万科A:万科企业股份有限公司2021年面向合格投资者公开发行住房租赁专项公司债券(第一期)(品种二)2025年付息公告 其他；一般付息公告,0,0,0,0.0
000002-20250121-0,000002.SZ,2025-01-21,万科A 2025-01-21 日行情文本摘要,2025-01-21，万科AA股交易日行情记录；开盘价6.84；最高价7.54；最低价6.82；收盘价7.36；成交量5849397；按开盘价计算当日上涨7.60%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-21 日行情文本摘要 2025-01-21，万科AA股交易日行情记录；开盘价6.84；最高价7.54；最低价6.82；收盘价7.36；成交量5849397；按开盘价计算当日上涨7.60%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000002-20250122-0,000002.SZ,2025-01-22,万科A 2025-01-22 日行情文本摘要,2025-01-22，万科AA股交易日行情记录；开盘价7.27；最高价7.36；最低价6.98；收盘价7.02；成交量3448728；按开盘价计算当日下跌3.44%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-01-22 日行情文本摘要 2025-01-22，万科AA股交易日行情记录；开盘价7.27；最高价7.36；最低价6.98；收盘价7.02；成交量3448728；按开盘价计算当日下跌3.44%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000002-20250123-0,000002.SZ,2025-01-23,万科A:关于为新增银行贷款事项提供担保的公告,提供/对外担保公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501221642456126.html,万科A,万科A:关于为新增银行贷款事项提供担保的公告 提供/对外担保公告,0,0,0,0.0
000002-20250124-0,000002.SZ,2025-01-24,万科A:万科企业股份有限公司关于行使“20万科02”公司债券发行人赎回选择权的第一次提示性公告,其他；赎回提示性公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501241642533012.html,万科A,万科A:万科企业股份有限公司关于行使“20万科02”公司债券发行人赎回选择权的第一次提示性公告 其他；赎回提示性公告,0,0,0,0.0
000002-20250124-1,000002.SZ,2025-01-24,万科A:万科企业股份有限公司关于行使“20万科02”公司债券发行人赎回选择权的公告,其他；赎回实施公告,tencent,https://data.eastmoney.com/notices/detail/000002/AN202501241642533013.html,万科A,万科A:万科企业股份有限公司关于行使“20万科02”公司债券发行人赎回选择权的公告 其他；赎回实施公告,0,0,0,0.0
000002-20250125-0,000002.SZ,2025-01-25,万科A:关于为新增贷款提供担保以及已有融资担保进展的公告,提供/对外担保公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501241642532131.html,万科A,万科A:关于为新增贷款提供担保以及已有融资担保进展的公告 提供/对外担保公告,0,0,0,0.0
000002-20250127-0,000002.SZ,2025-01-27,万科A:第二十届董事会第十二次会议决议公告,高管人员任职变动；董事会决议公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202501271642597135.html,万科A,万科A:第二十届董事会第十二次会议决议公告 高管人员任职变动；董事会决议公告,0,0,0,0.0
000002-20250127-1,000002.SZ,2025-01-27,万科A:关于转让红树湾物业开发项目投资收益权暨关联交易公告,关联交易,tencent,https://data.eastmoney.com/notices/detail/000002/AN202501271642597133.html,万科A,万科A:关于转让红树湾物业开发项目投资收益权暨关联交易公告 关联交易,0,0,0,0.0
000002-20250127-2,000002.SZ,2025-01-27,万科A:关于部分董事、高级管理人员变更的公告,高管人员任职变动,tencent,https://data.eastmoney.com/notices/detail/000002/AN202501271642597132.html,万科A,万科A:关于部分董事、高级管理人员变更的公告 高管人员任职变动,0,0,0,0.0
000002-20250127-3,000002.SZ,2025-01-27,万科A:2024年年度业绩预告,业绩预告,tencent,https://data.eastmoney.com/notices/detail/000002/AN202501271642597134.html,万科A,万科A:2024年年度业绩预告 业绩预告,0,0,0,0.0
000002-20250205-0,000002.SZ,2025-02-05,万科A 2025-02-05 日行情文本摘要,2025-02-05，万科AA股交易日行情记录；开盘价7.05；最高价7.18；最低价6.88；收盘价6.97；成交量2765847；按开盘价计算当日下跌1.13%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-02-05 日行情文本摘要 2025-02-05，万科AA股交易日行情记录；开盘价7.05；最高价7.18；最低价6.88；收盘价6.97；成交量2765847；按开盘价计算当日下跌1.13%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,-1,-1,0,-1.0
000002-20250206-0,000002.SZ,2025-02-06,万科A 2025-02-06 日行情文本摘要,2025-02-06，万科AA股交易日行情记录；开盘价6.97；最高价7.16；最低价6.92；收盘价7.02；成交量1868805；按开盘价计算当日上涨0.72%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,万科A,万科A 2025-02-06 日行情文本摘要 2025-02-06，万科AA股交易日行情记录；开盘价6.97；最高价7.16；最低价6.92；收盘价7.02；成交量1868805；按开盘价计算当日上涨0.72%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,1,1,0,1.0
000002-20250207-0,000002.SZ,2025-02-07,万科A:关于按照《香港上市规则》公布2025年1月证券变动月报表的公告,其他,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202502061642840116.html,万科A,万科A:关于按照《香港上市规则》公布2025年1月证券变动月报表的公告 其他,0,0,0,0.0
000002-20250208-0,000002.SZ,2025-02-08,万科A:关于担保进展情况的公告,其他担保公告,东方财富公告,https://data.eastmoney.com/notices/detail/000002/AN202502071642871056.html,万科A,万科A:关于担保进展情况的公告 其他担保公告,0,0,0,0.0
