metric,value,description
market_rows,316.0,Number of trading rows used.
close_cumulative_return,-0.47282608695652173,Raw close-price return over the sample.
sentiment_coverage,1.0,Share of market days with a sentiment value.
average_sentiment,0.0093551828349891,Average daily sentiment score.
positive_sentiment_day_ratio,0.3829113924050633,Share of days with positive sentiment.
negative_sentiment_day_ratio,0.35443037974683544,Share of days with negative sentiment.
sentiment_next_day_return_corr,-0.06538694657047799,Correlation between today's sentiment and next trading day's return.
average_net_flow,-54007618.248695344,Average reported or estimated daily net flow.
inflow_day_ratio,0.43354430379746833,Share of days with estimated net inflow.
outflow_day_ratio,0.5411392405063291,Share of days with estimated net outflow.
net_flow_same_day_return_corr,0.7114357112814589,Correlation between net flow and same-day return.
net_flow_next_day_return_corr,-0.07986268143984579,Correlation between today's net flow and next trading day's return.
